"water_year","oni_djf","enso_phase","enso_strength","el_nino","la_nina","oni_djf_lag1","time_trend","precip_in","soi_ndjfm","rsoi","phase"
1950,-1.5,"La Niña","strong",0,1,NA,0,25.94,0.78,-0.78,"La Niña"
1951,-0.8,"La Niña","weak",0,1,-1.5,1,23.59,0.99,-0.99,"La Niña"
1952,0.5,"El Niño","weak",1,0,-0.8,2,27.97,-0.73,0.73,"El Niño"
1953,0.4,"Neutral","neutral",0,0,0.5,3,17.19,-0.6,0.6,"El Niño"
1954,0.8,"El Niño","weak",1,0,0.4,4,23,-0.25,0.25,"Neutral"
1955,-0.7,"La Niña","weak",0,1,0.8,5,23.71,0.44,-0.44,"Neutral"
1956,-1.1,"La Niña","moderate",0,1,-0.7,6,17.85,1.09,-1.09,"La Niña"
1957,-0.2,"Neutral","neutral",0,0,-1.1,7,24.55,0.16,-0.16,"Neutral"
1958,1.8,"El Niño","strong",1,0,-0.2,8,27.76,-0.93,0.93,"El Niño"
1959,0.6,"El Niño","weak",1,0,1.8,9,15.21,-0.62,0.62,"El Niño"
1960,-0.1,"Neutral","neutral",0,0,0.6,10,21.77,0.35,-0.35,"Neutral"
1961,0,"Neutral","neutral",0,0,-0.1,11,16.53,-0.22,0.22,"Neutral"
1962,-0.2,"Neutral","neutral",0,0,0,12,22.1,0.6,-0.6,"La Niña"
1963,-0.4,"Neutral","neutral",0,0,-0.2,13,24.74,0.38,-0.38,"Neutral"
1964,1.1,"El Niño","moderate",1,0,-0.4,14,22.27,-0.45,0.45,"Neutral"
1965,-0.6,"La Niña","weak",0,1,1.1,15,21.98,-0.16,0.16,"Neutral"
1966,1.4,"El Niño","moderate",1,0,-0.6,16,18.72,-1.1,1.1,"El Niño"
1967,-0.4,"Neutral","neutral",0,0,1.4,17,23.75,0.51,-0.51,"La Niña"
1968,-0.6,"La Niña","weak",0,1,-0.4,18,20.37,-0.29,0.29,"Neutral"
1969,1.1,"El Niño","moderate",1,0,-0.6,19,30.6,-0.51,0.51,"El Niño"
1970,0.5,"El Niño","weak",1,0,1.1,20,27.81,-0.47,0.47,"Neutral"
1971,-1.4,"La Niña","moderate",0,1,0.5,21,18.24,1.47,-1.47,"La Niña"
1972,-0.7,"La Niña","weak",0,1,-1.4,22,17.21,0.37,-0.37,"Neutral"
1973,1.8,"El Niño","strong",1,0,-0.7,23,28.93,-0.76,0.76,"El Niño"
1974,-1.8,"La Niña","strong",0,1,1.8,24,21.35,2.07,-2.07,"La Niña"
1975,-0.5,"La Niña","weak",0,1,-1.8,25,20.94,0.08,-0.08,"Neutral"
1976,-1.6,"La Niña","strong",0,1,-0.5,26,11.75,1.4,-1.4,"La Niña"
1977,0.7,"El Niño","weak",1,0,-1.6,27,17.53,-0.13,0.13,"Neutral"
1978,0.7,"El Niño","weak",1,0,0.7,28,28.86,-1.34,1.34,"El Niño"
1979,0,"Neutral","neutral",0,0,0.7,29,24.63,-0.16,0.16,"Neutral"
1980,0.6,"El Niño","weak",1,0,0,30,24.12,-0.46,0.46,"Neutral"
1981,-0.3,"Neutral","neutral",0,0,0.6,31,26.24,-0.58,0.58,"El Niño"
1982,0,"Neutral","neutral",0,0,-0.3,32,31.99,0.27,-0.27,"Neutral"
