id,lat,lon,element,first_year,last_year,state,name,elev
USC00040029,41.1933,-120.9444,PRCP,1894,2026,CA,ADIN RS,1280.8
USC00040136,32.8358,-116.7775,PRCP,1952,2026,CA,ALPINE,516.6
USC00040144,34.1822,-118.1383,PRCP,1922,2026,CA,ALTADENA,343.5
USC00040176,34.5594,-115.7442,PRCP,1948,2026,CA,AMBOY,200.6
USC00040212,38.5731,-122.4406,PRCP,1940,2026,CA,ANGWIN PACIFIC UNION COLLEGE,522.7
USC00040343,36.4914,-118.8253,PRCP,1927,2026,CA,ASH MTN,520.6
USC00040383,38.9072,-121.0839,PRCP,1905,2026,CA,AUBURN,393.8
USC00040521,34.8928,-117.0219,PRCP,1980,2026,CA,BARSTOW,676.7
USC00040673,37.0869,-122.0822,PRCP,1972,2026,CA,BEN LOMOND #4,132.6
USC00040741,34.2431,-116.9169,PRCP,1960,2026,CA,BIG BEAR LAKE,2058.3
USC00040790,36.2472,-121.7803,PRCP,1915,2026,CA,BIG SUR STN,61
USC00040798,34.2947,-118.1886,PRCP,1932,2026,CA,BIG TUJUNGA DAM FC46,709
USC00040820,37.2322,-118.5994,PRCP,1910,2026,CA,ASPENDELL,2581.7
USC00040924,33.6139,-114.5981,PRCP,1913,2026,CA,BLYTHE,81.7
USC00040931,39.3886,-120.0936,PRCP,1906,2026,CA,BOCA,1699.3
USC00040943,38.2119,-119.0142,PRCP,1895,2026,CA,BODIE CALIFORNIA ST HISTORIC P,2551.2
USC00040983,33.2558,-116.4036,PRCP,1942,2026,CA,BORREGO DESERT PARK,246.9
USC00041018,39.4539,-120.6556,PRCP,1896,2026,CA,BOWMAN DAM,1641.3
USC00041072,38.2575,-119.2286,PRCP,1903,2025,CA,BRIDGEPORT,1972.1
USC00041159,39.9372,-121.3147,PRCP,1959,2026,CA,BUCKS CREEK,576.4
USC00041194,34.1867,-118.3481,PRCP,1939,2026,CA,BURBANK VALLEY PUMP PLT,199.6
USC00041244,35.4028,-119.47,PRCP,1940,2026,CA,BUTTONWILLOW,68.6
USC00041253,34.5822,-119.9817,PRCP,1952,2026,CA,CACHUMA LAKE,240.5
USC00041277,38.2769,-120.3114,PRCP,1929,2026,CA,CALAVERAS BIG TREES,1431
USC00041312,38.5769,-122.5781,PRCP,1906,2026,CA,CALISTOGA,106.7
USC00041424,32.6264,-116.47,PRCP,1948,2026,CA,CAMPO,801.6
USC00041428,38.2486,-120.8433,PRCP,1926,2026,CA,CAMP PARDEE,200.6
USC00041614,41.53,-120.1792,PRCP,1894,2026,CA,CEDARVILLE,1428.9
USC00041697,37.9747,-119.9161,PRCP,1955,2026,CA,CHERRY VALLEY DAM,1452.4
USC00041700,40.3022,-121.2439,PRCP,1910,2025,CA,CHESTER,1387.1
USC00041715,39.6911,-121.8211,PRCP,1906,2026,CA,CHICO UNIV FARM,56.4
USC00041758,32.64,-117.0858,PRCP,1918,2026,CA,CHULA VISTA,17.1
USC00041806,38.9239,-122.5672,PRCP,1954,2026,CA,CLEARLAKE 4 SE,411.2
USC00041838,38.7931,-123.0264,PRCP,1950,2026,CA,CLOVERDALE,121.9
USC00041864,36.1356,-120.3606,PRCP,1942,2026,CA,COALINGA,204.2
USC00041907,40.4,-122.1433,PRCP,1943,2026,CA,COLEMAN FISHERIES STN,128
USC00041912,39.09,-120.9469,PRCP,1905,2026,CA,COLFAX,723.3
USC00041916,39.3308,-121.1922,PRCP,1906,2025,CA,COLGATE POWERHOUSE,181.4
USC00041948,39.1875,-122.0269,PRCP,1948,2026,CA,COLUSA 2 SSW,15.2
USC00042012,36.0975,-119.5817,PRCP,1948,2026,CA,CORCORAN IRRIG DIST,61
USC00042090,34.0917,-117.88,PRCP,1929,2026,CA,COVINA CITY YARD FC387B,185
USC00042214,34.005,-118.4139,PRCP,1935,2026,CA,CULVER CITY,28
USC00042239,32.9897,-116.5872,PRCP,1899,2026,CA,CUYAMACA,1414.3
USC00042294,38.535,-121.7761,PRCP,1893,2026,CA,DAVIS 2 WSW EXP FARM,18.3
USC00042319,36.4625,-116.8672,PRCP,1961,2026,CA,DEATH VALLEY NP,-59.1
USC00042327,33.6514,-116.3764,PRCP,1963,2026,CA,DEEP CANYON LAB,365.8
USC00042346,35.7683,-119.26,PRCP,1906,2026,CA,DELANO,92
USC00042402,39.8717,-121.6108,PRCP,1906,2025,CA,DE SABLA,826
USC00042500,39.5633,-120.8239,PRCP,1908,2026,CA,DOWNIEVILLE,888.5
USC00042574,41.1831,-122.2817,PRCP,1978,2026,CA,DUNSMUIR TRTMT PL,661.1
USC00042598,33.8081,-115.4514,PRCP,1933,2026,CA,EAGLE MTN,296.6
USC00042706,32.8006,-116.9281,PRCP,1979,2026,CA,EL CAJON,150.9
USC00042709,32.8856,-116.815,PRCP,1948,2026,CA,EL CAPITAN DAM,182.9
USC00042713,32.7667,-115.5664,PRCP,1932,2026,CA,EL CENTRO 2 SSW,-9.1
USC00042805,33.6861,-117.3458,PRCP,1897,2026,CA,ELSINORE,386.5
USC00042863,33.1211,-117.09,PRCP,1979,2026,CA,ESCONDIDO #2,182.9
USC00042920,37.3531,-120.1622,PRCP,1950,2026,CA,EXCHEQUER DAM,128
USC00042934,38.2736,-122.0678,PRCP,1950,2026,CA,FAIRFIELD,12.2
