year,annual_precip_inches
1950,25.94
1951,23.59
1952,27.97
1953,17.19
1954,23
1955,23.71
1956,17.85
1957,24.55
1958,27.76
1959,15.21
1960,21.77
1961,16.53
1962,22.1
1963,24.74
1964,22.27
1965,21.98
1966,18.72
1967,23.75
1968,20.37
1969,30.6
1970,27.81
1971,18.24
1972,17.21
1973,28.93
1974,21.35
1975,20.94
1976,11.75
1977,17.53
1978,28.86
1979,24.63
1980,24.12
1981,26.24
1982,31.99
1983,42.46
1984,18.32
1985,14.7
1986,24.25
1987,19.7
1988,17.1
1989,14.95
1990,13.99
1991,19.79
1992,23.23
1993,26.7
1994,17.54
1995,35.2
1996,32.51
1997,20.6
1998,36.41
1999,17.63
2000,21.43
2001,23.02
2002,18.68
2003,21.63
2004,21.76
2005,30.1
2006,23.61
2007,13.83
2008,17.85
2009,17.05
2010,31.18
2011,18.79
2012,23.45
2013,7.93
2014,19.9
2015,15.04
2016,25.73
2017,28.17
2018,18.09
2019,29.12
2020,12.07
2021,18.93
2022,14.1
2023,27.38
2024,26.09
2025,23.29
