water_year,oni_djf,enso_phase,enso_strength,el_nino,la_nina,oni_djf_lag1,time_trend
1950,-1.5,la_nina,strong,0,1,,0
1951,-0.8,la_nina,weak,0,1,-1.5,1
1952,0.5,el_nino,weak,1,0,-0.8,2
1953,0.4,neutral,neutral,0,0,0.5,3
1954,0.8,el_nino,weak,1,0,0.4,4
1955,-0.7,la_nina,weak,0,1,0.8,5
1956,-1.1,la_nina,moderate,0,1,-0.7,6
1957,-0.2,neutral,neutral,0,0,-1.1,7
1958,1.8,el_nino,strong,1,0,-0.2,8
1959,0.6,el_nino,weak,1,0,1.8,9
1960,-0.1,neutral,neutral,0,0,0.6,10
1961,0.0,neutral,neutral,0,0,-0.1,11
1962,-0.2,neutral,neutral,0,0,0.0,12
1963,-0.4,neutral,neutral,0,0,-0.2,13
1964,1.1,el_nino,moderate,1,0,-0.4,14
1965,-0.6,la_nina,weak,0,1,1.1,15
1966,1.4,el_nino,moderate,1,0,-0.6,16
1967,-0.4,neutral,neutral,0,0,1.4,17
1968,-0.6,la_nina,weak,0,1,-0.4,18
1969,1.1,el_nino,moderate,1,0,-0.6,19
1970,0.5,el_nino,weak,1,0,1.1,20
1971,-1.4,la_nina,moderate,0,1,0.5,21
1972,-0.7,la_nina,weak,0,1,-1.4,22
1973,1.8,el_nino,strong,1,0,-0.7,23
1974,-1.8,la_nina,strong,0,1,1.8,24
1975,-0.5,la_nina,weak,0,1,-1.8,25
1976,-1.6,la_nina,strong,0,1,-0.5,26
1977,0.7,el_nino,weak,1,0,-1.6,27
1978,0.7,el_nino,weak,1,0,0.7,28
1979,0.0,neutral,neutral,0,0,0.7,29
1980,0.6,el_nino,weak,1,0,0.0,30
1981,-0.3,neutral,neutral,0,0,0.6,31
1982,0.0,neutral,neutral,0,0,-0.3,32
1983,2.2,el_nino,very_strong,1,0,0.0,33
1984,-0.6,la_nina,weak,0,1,2.2,34
1985,-1.0,la_nina,moderate,0,1,-0.6,35
1986,-0.5,la_nina,weak,0,1,-1.0,36
1987,1.2,el_nino,moderate,1,0,-0.5,37
1988,0.8,el_nino,weak,1,0,1.2,38
1989,-1.7,la_nina,strong,0,1,0.8,39
1990,0.1,neutral,neutral,0,0,-1.7,40
1991,0.4,neutral,neutral,0,0,0.1,41
1992,1.7,el_nino,strong,1,0,0.4,42
1993,0.1,neutral,neutral,0,0,1.7,43
1994,0.1,neutral,neutral,0,0,0.1,44
1995,1.0,el_nino,moderate,1,0,0.1,45
1996,-0.9,la_nina,weak,0,1,1.0,46
1997,-0.5,la_nina,weak,0,1,-0.9,47
1998,2.2,el_nino,very_strong,1,0,-0.5,48
1999,-1.5,la_nina,strong,0,1,2.2,49
2000,-1.7,la_nina,strong,0,1,-1.5,50
2001,-0.7,la_nina,weak,0,1,-1.7,51
2002,-0.1,neutral,neutral,0,0,-0.7,52
2003,0.9,el_nino,weak,1,0,-0.1,53
2004,0.4,neutral,neutral,0,0,0.9,54
2005,0.6,el_nino,weak,1,0,0.4,55
2006,-0.9,la_nina,weak,0,1,0.6,56
2007,0.7,el_nino,weak,1,0,-0.9,57
2008,-1.6,la_nina,strong,0,1,0.7,58
2009,-0.8,la_nina,weak,0,1,-1.6,59
2010,1.5,el_nino,strong,1,0,-0.8,60
2011,-1.3,la_nina,moderate,0,1,1.5,61
2012,-0.7,la_nina,weak,0,1,-1.3,62
2013,-0.3,neutral,neutral,0,0,-0.7,63
2014,-0.3,neutral,neutral,0,0,-0.3,64
2015,0.7,el_nino,weak,1,0,-0.3,65
2016,2.6,el_nino,very_strong,1,0,0.7,66
2017,-0.2,neutral,neutral,0,0,2.6,67
2018,-0.8,la_nina,weak,0,1,-0.2,68
2019,0.9,el_nino,weak,1,0,-0.8,69
2020,0.6,el_nino,weak,1,0,0.9,70
2021,-0.9,la_nina,weak,0,1,0.6,71
2022,-0.8,la_nina,weak,0,1,-0.9,72
2023,-0.5,la_nina,weak,0,1,-0.8,73
2024,1.9,el_nino,strong,1,0,-0.5,74
2025,-0.4,neutral,neutral,0,0,1.9,75
