"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00044405","1959-06-01","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0",",,0,","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00044405","1959-06-02","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0",",,0,1700","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00044405","1959-06-03","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0",",,0,1700","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00044405","1959-06-04","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0",",,0,1700","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00044405","1959-06-05","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0",",,0,1700","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00044405","1959-06-06","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0",",,0,1700","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00044405","1959-06-07","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0",",,0,1700","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00044405","1959-06-08","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0",",,0,1700","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00044405","1959-06-09","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0",",,0,1700","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00044405","1959-06-10","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0",",,0,1700","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00044405","1959-06-11","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0",",,0,1700","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00044405","1959-06-12","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0",",,0,1700","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00044405","1959-06-13","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0","T,,0,1700","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,"    1",",,0",,,,,,
"USC00044405","1959-06-14","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0",",,0,1700","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00044405","1959-06-15","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0",",,0,1700","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00044405","1959-06-16","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0",",,0,1700","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00044405","1959-06-17","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0",",,0,1700","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00044405","1959-06-18","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0",",,0,1700","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00044405","1959-06-19","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0",",,0,1700","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00044405","1959-06-20","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0",",,0,1700","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00044405","1959-06-21","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0",",,0,1700","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00044405","1959-06-22","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0",",,0,1700","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00044405","1959-06-23","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0",",,0,1700","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,
"USC00044405","1959-06-24","34.1471","-116.2747","781.2","JOSHUA TREE, CA US","    0",",,0,1700","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,
