"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00044412","1893-01-01","33.0763","-116.5925","1284.7","JULIAN CDF, CA US","    0","P,,6",,,,,"  167",",,6","   94",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00044412","1893-01-02","33.0763","-116.5925","1284.7","JULIAN CDF, CA US","    0","P,,6",,,,,"  189",",,6","   61",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00044412","1893-01-03","33.0763","-116.5925","1284.7","JULIAN CDF, CA US","    0","P,,6",,,,,"  178",",,6","   89",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00044412","1893-01-04","33.0763","-116.5925","1284.7","JULIAN CDF, CA US","    0","P,,6",,,,,"  244",",,6","   67",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00044412","1893-01-05","33.0763","-116.5925","1284.7","JULIAN CDF, CA US","    0","P,,6",,,,,"  217",",,6","  117",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00044412","1893-01-06","33.0763","-116.5925","1284.7","JULIAN CDF, CA US","    0","P,,6",,,,,"  194",",,6","   83",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00044412","1893-01-07","33.0763","-116.5925","1284.7","JULIAN CDF, CA US","    0","P,,6",,,,,"  178",",,6","  100",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00044412","1893-01-08","33.0763","-116.5925","1284.7","JULIAN CDF, CA US","    0","P,,6",,,,,"  161",",,6","   83",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00044412","1893-01-09","33.0763","-116.5925","1284.7","JULIAN CDF, CA US","    0","P,,6",,,,,"  206",",,6","   61",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00044412","1893-01-10","33.0763","-116.5925","1284.7","JULIAN CDF, CA US","    0","P,,6",,,,,"  172",",,6","   39",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,
