"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES"
"USC00044534","1955-02-01","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  156",",,0","   78",",,0",,,,,,,"   18",",,0,0800",,,,,,,,,,,"   94",",,0,0800",,,,
"USC00044534","1955-02-02","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    8",",,0,0800","    0",",,0","    0",",,0","  139",",,0","   22",",,0",,,,,,,"    8",",,0,0800",,,,,,,,,,,"   50",",,0,0800","  211",",,0",,
"USC00044534","1955-02-03","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  122",",,0","    0",",,0",,,,,,,"   51",",,0,0800",,,,,,,,,,,"   22",",,0,0800","  171",",,0",,
"USC00044534","1955-02-04","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  111",",,0","  -11",",,0",,,,,,,"   38",",,0,0800",,,,,,,,,,,"   17",",,0,0800","   92",",,0",,
"USC00044534","1955-02-05","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  128",",,0","  -17",",,0",,,,,,,"   38",",,0,0800",,,,,,,,,,,"   11",",,0,0800","   56",",,0",,
"USC00044534","1955-02-06","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  128",",,0","   11",",,0",,,,,,,"   25",",,0,0800",,,,,,,,,,,"   17",",,0,0800","   37",",,0",,
"USC00044534","1955-02-07","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  133",",,0","   17",",,0",,,,,,,"   23",",,0,0800",,,,,,,,,,,"   22",",,0,0800","   58",",,0",,
"USC00044534","1955-02-08","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  167",",,0","   17",",,0",,,,,,,"   25",",,0,0800",,,,,,,,,,,"   61",",,0,0800","   21",",,0",,
"USC00044534","1955-02-09","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  167",",,0","   22",",,0",,,,,,,"   28",",,0,0800",,,,,,,,,,,"   50",",,0,0800","   42",",,0",,
"USC00044534","1955-02-10","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  183",",,0","   50",",,0",,,,,,,"   38",",,0,0800",,,,,,,,,,,"   89",",,0,0800","   39",",,0",,
