"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00023119","1949-01-01","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  100",",,X","    6",",,X",,," 1036",",,X",,,,,"  135","W,,X",,,,,"   67",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-01-02","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  100",",,X","   28",",,X",,," 1424",",,X",,,,,"   23","W,,X",,,,,"  237",",,X","    1",",,X",,,,,,,,,,,,,,,,,,
"USW00023119","1949-01-03","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","   50",",,X","  -22",",,X",,," 1236",",,X",,,,,"   45","W,,X",,,,,"  152",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-01-04","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","   67",",,X","  -50",",,X",,," 1124",",,X",,,,,"   23","W,,X",,,,,"   98",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-01-05","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  133",",,X","  -39",",,X",,," 1554",",,X",,,,,"   23","W,,X",,,,,"   85",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-01-06","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  172",",,X","  -22",",,X",,," 1412",",,X",,,,,"   90","W,,X",,,,,"  112",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-01-07","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  183",",,X","    0",",,X",,," 0230",",,X",,,,,"   45","W,,X",,,,,"   94",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-01-08","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  133",",,X","  -17",",,X",,," 1530",",,X",,,,,"  338","W,,X",,,,,"   80",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-01-09","33.9","-117.25","468.2","MARCH AFB, CA US","   30",",,X","   25",",,X","    0",",,X","   67",",,X","   -6",",,X",,," 1342",",,X",,,,,"  248","W,,X",,,,,"  130",",,X",,,,,,,,,,,,,,,,,"    1",",,X","    1",",,X"
"USW00023119","1949-01-10","33.9","-117.25","468.2","MARCH AFB, CA US","   38",",,X","   23",",,X","   25",",,X","   28",",,X","  -44",",,X",,," 1318",",,X",,,,,"  248","W,,X",,,,,"   94",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,,,"    1",",,X"
