"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00023130","1949-01-01","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","   94",",,X","   11",",,X",,,,," 0748",",,X",,,,,,,,,"   23","W,,X",,,,,"   31",",,X","    1",",,X",,,,,,,,,,,,,,
"USW00023130","1949-01-02","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  111",",,X","   44",",,X",,,,," 1524",",,X",,,,,,,,,"  360","W,,X",,,,,"  232",",,X","    1",",,X",,,,,,,,,,,,,,
"USW00023130","1949-01-03","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","   72",",,X","   17",",,X",,,,," 0848",",,X",,,,,,,,,"   23","W,,X",,,,,"  206",",,X",,,,,,,,,,,,,,,,
"USW00023130","1949-01-04","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  144",",,X","   22",",,X",,,,," 2000",",,X",,,,,,,,,"  360","W,,X",,,,,"  156",",,X",,,,,,,,,,,,,,,,
"USW00023130","1949-01-05","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  144",",,X","   22",",,X",,,,," 2000",",,X",,,,,,,,,"  360","W,,X",,,,,"  156",",,X",,,,,,,,,,,,,,,,
"USW00023130","1949-01-06","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  194",",,X","   72",",,X",,,,," 0648",",,X",,,,,,,,,"   23","W,,X",,,,,"  210",",,X",,,,,,,,,,,,,,,,
"USW00023130","1949-01-07","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  183",",,X","    6",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023130","1949-01-08","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0","T,,X","    0",",,X","    0",",,X","  139",",,X","  -17",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X","    1",",,X",,
"USW00023130","1949-01-09","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","   89",",,X","  -11",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023130","1949-01-10","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","   53",",,X","   58",",,X","    0",",,X","   67",",,X","  -28",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X"
"USW00023130","1949-01-11","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","   53",",,X","   61",",,X","    0","T,,X","   39",",,X","  -17",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X","    1",",,X"
"USW00023130","1949-01-12","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0","T,,X","    0",",,X","    0",",,X","   72",",,X","  -56",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X","    1",",,X",,
"USW00023130","1949-01-13","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","   53",",,X","    0",",,X","    0",",,X","  100",",,X","   39",",,X",,,,," 0424",",,X",,,,,,,,,"   23","W,,X",,,,,"  134",",,X",,,,,,,,,,,,,"    1",",,X",,
"USW00023130","1949-01-14","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","   33",",,X","    0",",,X","    0",",,X","   83",",,X","   33",",,X",,,,," 2354",",,X",,,,,,,,,"  293","W,,X",,,,,"   45",",,X",,,,,,,,,,,"    1",",,X","    1",",,X",,
"USW00023130","1949-01-15","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  128",",,X","    0",",,X",,,,," 2348",",,X",,,,,,,,,"   23","W,,X",,,,,"  152",",,X",,,,,,,,,,,"    1",",,X",,,,
"USW00023130","1949-01-16","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  106",",,X","   39",",,X",,,,," 2048",",,X",,,,,,,,,"   23","W,,X",,,,,"  201",",,X",,,,,,,,,,,,,,,,
"USW00023130","1949-01-17","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  117",",,X","   -6",",,X",,,,," 1230",",,X",,,,,,,,,"  360","W,,X",,,,,"  165",",,X",,,,,,,,,,,,,,,,
"USW00023130","1949-01-18","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  122",",,X","   -6",",,X",,,,," 1454",",,X",,,,,,,,,"  225","W,,X",,,,,"   40",",,X",,,,,,,,,,,"    1",",,X",,,,
"USW00023130","1949-01-19","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","  165",",,X","    0",",,X","    0",",,X","   67",",,X","   50",",,X",,,,," 1642",",,X",,,,,,,,,"  135","W,,X",,,,,"   49",",,X","    1",",,X",,,,,,,,,"    1",",,X","    1",",,X",,
"USW00023130","1949-01-20","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0","T,,X","    0",",,X","    0",",,X","  111",",,X","   61",",,X",,,,," 1642",",,X",,,,,,,,,"  135","W,,X",,,,,"   49",",,X","    1",",,X",,,,,,,,,"    1",",,X","    1",",,X",,
"USW00023130","1949-01-21","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","   94",",,X","   56",",,X",,,,," 1224",",,X",,,,,,,,,"  158","W,,X",,,,,"   36",",,X",,,,,,,,,,,,,,,,
"USW00023130","1949-01-22","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","   51",",,X","    0",",,X","    0",",,X","  106",",,X","   33",",,X",,,,," 1336",",,X",,,,,,,,,"  158","W,,X",,,,,"   63",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,
"USW00023130","1949-01-23","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0","T,,X","    0",",,X","    0",",,X","   83",",,X","    0",",,X",,,,," 1154",",,X",,,,,,,,,"  180","W,,X",,,,,"   36",",,X",,,,,,,,,,,,,"    1",",,X","    1",",,X"
"USW00023130","1949-01-24","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","   94",",,X","  -17",",,X",,,,," 2006",",,X",,,,,,,,,"   45","W,,X",,,,,"  170",",,X",,,,,,,,,,,,,,,,
"USW00023130","1949-01-25","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","   78",",,X","   33",",,X",,,,," 0542",",,X",,,,,,,,,"   23","W,,X",,,,,"  165",",,X",,,,,,,,,,,,,,,,
"USW00023130","1949-01-26","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  117",",,X","   -6",",,X",,,,," 1224",",,X",,,,,,,,,"  135","W,,X",,,,,"   45",",,X",,,,,,,,,,,"    1",",,X",,,,
"USW00023130","1949-01-27","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  133",",,X","  -28",",,X",,,,," 1524",",,X",,,,,,,,,"  180","W,,X",,,,,"   36",",,X","    1",",,X",,,,,,,,,"    1",",,X",,,,
"USW00023130","1949-01-28","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  144",",,X","  -22",",,X",,,,," 2224",",,X",,,,,,,,,"   45","W,,X",,,,,"  206",",,X","    1",",,X",,,,,,,,,"    1",",,X",,,,
"USW00023130","1949-01-29","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  144",",,X","   56",",,X",,,,," 0112",",,X",,,,,,,,,"   45","W,,X",,,,,"  210",",,X",,,,,,,,,,,,,,,,
"USW00023130","1949-01-30","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  139",",,X","  -28",",,X",,,,," 1448",",,X",,,,,,,,,"  158","W,,X",,,,,"   54",",,X",,,,,,,,,,,"    1",",,X",,,,
"USW00023130","1949-01-31","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  150",",,X","  -17",",,X",,,,," 1642",",,X",,,,,,,,,"  338","W,,X",,,,,"   63",",,X",,,,,,,,,,,"    1",",,X",,,,
"USW00023130","1949-02-01","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  128",",,X","  -28",",,X",,,,," 1212",",,X",,,,,,,,,"  180","W,,X",,,,,"   58",",,X","    1",",,X",,,,,,,,,"    1",",,X",,,,
"USW00023130","1949-02-02","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  133",",,X","    0",",,X",,,,," 1024",",,X",,,,,,,,,"   45","W,,X",,,,,"   89",",,X",,,,,,,,,,,,,,,,
"USW00023130","1949-02-03","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","   53",",,X","    0",",,X","    0",",,X","  111",",,X","  -17",",,X",,,,," 1430",",,X",,,,,,,,,"  248","W,,X",,,,,"   76",",,X","    1",",,X",,,,,,,,,"    1",",,X","    1",",,X",,
"USW00023130","1949-02-04","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  117",",,X","  -11",",,X",,,,," 1306",",,X",,,,,,,,,"  135","W,,X",,,,,"   36",",,X",,,,,,,,,,,,,,,,
"USW00023130","1949-02-05","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  111",",,X","   50",",,X",,,,," 1312",",,X",,,,,,,,,"  158","W,,X",,,,,"   36",",,X",,,,,,,,,,,,,"    1",",,X",,
"USW00023130","1949-02-06","34.21214","-118.49146","239.2","VAN NUYS AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  128",",,X","   11",",,X",,,,," 1554",",,X",,,,,,,,,"  180","W,,X",,,,,"   36",",,X",,,,,,,,,,,,,,,,
