"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WV07","WV07_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00023199","1945-02-01","32.83241","-115.66377","-14.1","EL CENTRO NAF, CA US","    0","T,,X","    0",",,X",,,"  189",",,X","  111",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00023199","1945-02-02","32.83241","-115.66377","-14.1","EL CENTRO NAF, CA US","    0","T,,X","    0",",,X",,,"  189",",,X","   94",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00023199","1945-02-03","32.83241","-115.66377","-14.1","EL CENTRO NAF, CA US","    0","T,,X","    0",",,X",,,"  222",",,X","   94",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00023199","1945-02-04","32.83241","-115.66377","-14.1","EL CENTRO NAF, CA US","    0",",,X","    0",",,X",,,"  233",",,X","  100",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023199","1945-02-05","32.83241","-115.66377","-14.1","EL CENTRO NAF, CA US","    0",",,X","    0",",,X",,,"  244",",,X","   78",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023199","1945-02-06","32.83241","-115.66377","-14.1","EL CENTRO NAF, CA US","    0",",,X","    0",",,X",,,"  239",",,X","  122",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023199","1945-02-07","32.83241","-115.66377","-14.1","EL CENTRO NAF, CA US","    0",",,X","    0",",,X",,,"  250",",,X","   94",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023199","1945-02-08","32.83241","-115.66377","-14.1","EL CENTRO NAF, CA US","    0",",,X","    0",",,X",,,"  267",",,X","   78",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023199","1945-02-09","32.83241","-115.66377","-14.1","EL CENTRO NAF, CA US","    0",",,X","    0",",,X",,,"  244",",,X","  111",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023199","1945-02-10","32.83241","-115.66377","-14.1","EL CENTRO NAF, CA US","    0",",,X","    0",",,X",,,"  256",",,X","  150",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023199","1945-02-11","32.83241","-115.66377","-14.1","EL CENTRO NAF, CA US","    0",",,X","    0",",,X",,,"  267",",,X","   94",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023199","1945-02-12","32.83241","-115.66377","-14.1","EL CENTRO NAF, CA US","    0",",,X","    0",",,X",,,"  283",",,X","   94",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023199","1945-02-13","32.83241","-115.66377","-14.1","EL CENTRO NAF, CA US","    0",",,X","    0",",,X",,,"  256",",,X","   78",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023199","1945-02-14","32.83241","-115.66377","-14.1","EL CENTRO NAF, CA US","    0",",,X","    0",",,X",,,"  250",",,X","   56",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023199","1945-02-15","32.83241","-115.66377","-14.1","EL CENTRO NAF, CA US","    0",",,X","    0",",,X",,,"  206",",,X","  122",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023199","1945-02-16","32.83241","-115.66377","-14.1","EL CENTRO NAF, CA US","    0",",,X","    0",",,X",,,"  222",",,X","  117",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
