"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00023202","1947-05-24","38.26667","-121.93333","18.0","TRAVIS FIELD AFB, CA US","    0",",,X,null","    0",",,X","    0",",,X","  289",",,X","  111",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00023202","1947-05-30","38.26667","-121.93333","18.0","TRAVIS FIELD AFB, CA US","    0",",,X,null","    0",",,X","    0",",,X","  200",",,X","  133",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00023202","1947-10-28","38.26667","-121.93333","18.0","TRAVIS FIELD AFB, CA US","   89",",,X,null","    0",",,X","    0",",,X","  150",",,X","  100",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00023202","1949-01-01","38.26667","-121.93333","18.0","TRAVIS FIELD AFB, CA US","   13",",,X,null","    0",",,X","    0",",,X","  117",",,X","   44",",,X"," 1318",",,X",,,"  180","W,,X","  152",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,
"USW00023202","1949-01-02","38.26667","-121.93333","18.0","TRAVIS FIELD AFB, CA US","    0",",,X,null","    0",",,X","    0",",,X","  100",",,X","   17",",,X"," 1336",",,X",,,"  338","W,,X","  179",",,X",,,,,,,,,,,,,,,,
"USW00023202","1949-01-03","38.26667","-121.93333","18.0","TRAVIS FIELD AFB, CA US","    0",",,X,null","    0",",,X","    0",",,X","   72",",,X","   17",",,X"," 1048",",,X",,,"  338","W,,X","  219",",,X",,,,,,,,,,,,,,,,
"USW00023202","1949-01-04","38.26667","-121.93333","18.0","TRAVIS FIELD AFB, CA US","    0",",,X,null","    0",",,X","    0",",,X","   61",",,X","  -28",",,X"," 0142",",,X",,,"  338","W,,X","  206",",,X",,,,,,,,,,,,,,,,
"USW00023202","1949-01-05","38.26667","-121.93333","18.0","TRAVIS FIELD AFB, CA US","    0",",,X,null","    0",",,X","    0",",,X","   78",",,X","  -61",",,X"," 1400",",,X",,,"   45","W,,X","   63",",,X",,,,,,,,,,,,,,,,
"USW00023202","1949-01-06","38.26667","-121.93333","18.0","TRAVIS FIELD AFB, CA US","    0",",,X,null","    0",",,X","    0",",,X","  100",",,X","  -17",",,X"," 1206",",,X",,,"  113","W,,X","   76",",,X",,,,,,,,,,,,,,,,
"USW00023202","1949-01-07","38.26667","-121.93333","18.0","TRAVIS FIELD AFB, CA US","    0",",,X,null","    0",",,X","    0",",,X","  106",",,X","  -11",",,X"," 0748",",,X",,,"   23","W,,X","   58",",,X",,,,,,,,,,,,,,,,
