"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USW00023275","1949-09-12","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,0","    0",",,0","    0",",,0","  306",",,0","   67",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023275","1949-09-13","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,0","    0",",,0","    0",",,0","  328",",,0","   83",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023275","1949-09-14","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,0","    0",",,0","    0",",,0","  322",",,0","   72",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023275","1949-09-15","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,0","    0",",,0","    0",",,0","  294",",,0","  122",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023275","1949-09-16","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,0","    0",",,0","    0",",,0","  283",",,0","  111",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023275","1949-09-17","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,0","    0",",,0","    0",",,0","  350",",,0","   72",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023275","1949-09-18","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,0","    0",",,0","    0",",,0","  378",",,0","   72",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023275","1949-09-19","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,0","    0",",,0","    0",",,0","  372",",,0","   78",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023275","1949-09-20","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,0","    0",",,0","    0",",,0","  394",",,0","  100",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023275","1949-09-21","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,0","    0",",,0","    0",",,0","  389",",,0","   89",",,0",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,
"USW00023275","1949-09-22","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,0","    0",",,0","    0",",,0","  394",",,0","  106",",,0",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,
"USW00023275","1949-09-23","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,0","    0",",,0","    0",",,0","  356",",,0","   78",",,0",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,
"USW00023275","1949-09-24","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,0","    0",",,0","    0",",,0","  261",",,0","   78",",,0",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,
"USW00023275","1949-09-25","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,0","    0",",,0","    0",",,0","  272",",,0","   89",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023275","1949-09-26","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,0","    0",",,0","    0",",,0","  283",",,0","   83",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023275","1949-09-27","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,0","    0",",,0","    0",",,0","  261",",,0","   89",",,0",,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,
"USW00023275","1949-09-28","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,0","    0",",,0","    0",",,0","  256",",,0","   89",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023275","1949-09-29","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,0","    0",",,0","    0",",,0","  283",",,0","   78",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023275","1949-09-30","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,0","    0",",,0","    0",",,0","  322",",,0","   83",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023275","1949-10-01","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  339",",,X","   72",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023275","1949-10-02","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  322",",,X","   72",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023275","1949-10-03","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  339",",,X","   72",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023275","1949-10-04","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  267",",,X","   67",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023275","1949-10-05","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  217",",,X","   94",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023275","1949-10-06","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","   15",",,X","    0",",,X","    0",",,X","  206",",,X","   50",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X"
"USW00023275","1949-10-07","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  172",",,X","   33",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023275","1949-10-08","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","    0",",,X","    0",",,X","    0",",,X","  217",",,X","   -6",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023275","1949-10-09","39.12781","-123.20015","183.7","UKIAH MUNICIPAL AIRPORT, CA US","   41",",,X","    0",",,X","    0",",,X","  239",",,X","   11",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,"    1",",,X"
