region,ym,prcp,n_stations,oni,month,phase
NorCal,1867-11-01,78.6,1,NA,11,Neutral
NorCal,1867-12-01,208.39999999999998,1,NA,12,Neutral
NorCal,1868-01-01,88.89999999999998,1,NA,1,Neutral
NorCal,1868-02-01,10,1,NA,2,Neutral
NorCal,1868-03-01,96.6,1,NA,3,Neutral
NorCal,1868-04-01,5.1,1,NA,4,Neutral
NorCal,1868-11-01,20.299999999999997,1,NA,11,Neutral
NorCal,1868-12-01,22.799999999999997,1,NA,12,Neutral
NorCal,1869-01-01,63.3,1,NA,1,Neutral
NorCal,1869-02-01,10.2,1,NA,2,Neutral
NorCal,1869-03-01,17.7,1,NA,3,Neutral
NorCal,1869-11-01,60.099999999999994,1,NA,11,Neutral
NorCal,1869-12-01,58.49999999999999,1,NA,12,Neutral
NorCal,1870-01-01,109.5,1,NA,1,Neutral
NorCal,1870-02-01,137.2,1,NA,2,Neutral
NorCal,1870-03-01,81.5,1,NA,3,Neutral
NorCal,1870-04-01,35.8,1,NA,4,Neutral
NorCal,1870-11-01,58.199999999999996,1,NA,11,Neutral
NorCal,1870-12-01,231.10000000000002,1,NA,12,Neutral
NorCal,1871-01-01,31.4,1,NA,1,Neutral
NorCal,1871-02-01,85.5,1,NA,2,Neutral
NorCal,1871-03-01,81.89999999999999,1,NA,3,Neutral
NorCal,1871-11-01,20,1,NA,11,Neutral
NorCal,1871-12-01,95.20000000000002,1,NA,12,Neutral
NorCal,1872-01-01,29.299999999999997,1,NA,1,Neutral
NorCal,1872-02-01,100.89999999999999,1,NA,2,Neutral
NorCal,1872-03-01,33.49999999999999,1,NA,3,Neutral
NorCal,1872-04-01,19.6,1,NA,4,Neutral
NorCal,1872-11-01,42.9,1,NA,11,Neutral
NorCal,1872-12-01,49.3,1,NA,12,Neutral
NorCal,1873-01-01,56.4,1,NA,1,Neutral
NorCal,1873-02-01,42.3,1,NA,2,Neutral
NorCal,1873-03-01,15.299999999999999,1,NA,3,Neutral
NorCal,1873-04-01,52.39999999999999,1,NA,4,Neutral
NorCal,1873-11-01,28.9,1,NA,11,Neutral
NorCal,1873-12-01,83.5,1,NA,12,Neutral
NorCal,1874-01-01,38.3,1,NA,1,Neutral
NorCal,1874-02-01,27.4,1,NA,2,Neutral
NorCal,1874-03-01,26.7,1,NA,3,Neutral
NorCal,1874-04-01,28.4,1,NA,4,Neutral
NorCal,1874-12-01,3.3,1,NA,12,Neutral
NorCal,1875-01-01,53.400000000000006,1,NA,1,Neutral
NorCal,1875-02-01,1.8,1,NA,2,Neutral
NorCal,1875-03-01,54.69999999999999,1,NA,3,Neutral
NorCal,1875-04-01,11.399999999999999,1,NA,4,Neutral
NorCal,1875-11-01,66.7,1,NA,11,Neutral
NorCal,1875-12-01,39.2,1,NA,12,Neutral
NorCal,1876-01-01,90.7,1,NA,1,Neutral
NorCal,1876-02-01,8.2,1,NA,2,Neutral
NorCal,1876-03-01,20.400000000000002,1,NA,3,Neutral
NorCal,1876-04-01,13.600000000000001,1,NA,4,Neutral
NorCal,1876-11-01,109.69999999999999,1,NA,11,Neutral
NorCal,1876-12-01,52.1,1,NA,12,Neutral
NorCal,1877-01-01,30.4,1,NA,1,Neutral
NorCal,1877-02-01,83.89999999999998,1,NA,2,Neutral
NorCal,1877-03-01,106.2,1,NA,3,Neutral
NorCal,1877-04-01,54.4,1,NA,4,Neutral
NorCal,1877-11-01,52.1,2,NA,11,Neutral
NorCal,1877-12-01,22.599999999999998,2,NA,12,Neutral
NorCal,1878-01-01,127.15,2,NA,1,Neutral
NorCal,1878-02-01,161.25,2,NA,2,Neutral
NorCal,1878-03-01,69.19999999999999,2,NA,3,Neutral
NorCal,1878-04-01,26.85,2,NA,4,Neutral
NorCal,1878-11-01,9.65,2,NA,11,Neutral
NorCal,1878-12-01,8.55,2,NA,12,Neutral
NorCal,1879-01-01,80.69999999999999,1,NA,1,Neutral
NorCal,1879-02-01,98.89999999999998,1,NA,2,Neutral
NorCal,1879-03-01,73.99999999999999,2,NA,3,Neutral
NorCal,1879-04-01,45.249999999999986,2,NA,4,Neutral
NorCal,1879-11-01,48.25,2,NA,11,Neutral
NorCal,1879-12-01,86.59999999999998,1,NA,12,Neutral
NorCal,1880-01-01,37.449999999999996,2,NA,1,Neutral
NorCal,1880-02-01,71.55,2,NA,2,Neutral
NorCal,1880-03-01,64.2,2,NA,3,Neutral
NorCal,1880-04-01,251.55,2,NA,4,Neutral
NorCal,1880-11-01,7.75,2,NA,11,Neutral
NorCal,1880-12-01,227.25,2,NA,12,Neutral
NorCal,1881-01-01,205.05,2,NA,1,Neutral
NorCal,1881-02-01,140.39999999999998,2,NA,2,Neutral
NorCal,1881-03-01,36.45,2,NA,3,Neutral
NorCal,1881-04-01,59.1,2,NA,4,Neutral
NorCal,1881-11-01,60.29999999999999,2,NA,11,Neutral
NorCal,1881-12-01,84.69999999999999,2,NA,12,Neutral
NorCal,1882-01-01,67.80000000000001,2,NA,1,Neutral
NorCal,1882-02-01,66.3,2,NA,2,Neutral
NorCal,1882-03-01,66.55000000000001,2,NA,3,Neutral
NorCal,1882-04-01,47.15,2,NA,4,Neutral
NorCal,1882-11-01,52.599999999999994,2,NA,11,Neutral
NorCal,1882-12-01,35.65,2,NA,12,Neutral
NorCal,1883-01-01,60.349999999999994,2,NA,1,Neutral
NorCal,1883-02-01,22.3,2,NA,2,Neutral
NorCal,1883-03-01,56.7,2,NA,3,Neutral
NorCal,1883-04-01,28.4,2,NA,4,Neutral
NorCal,1883-11-01,22.25,2,NA,11,Neutral
NorCal,1883-12-01,19.099999999999998,2,NA,12,Neutral
NorCal,1884-01-01,58.05000000000001,2,NA,1,Neutral
NorCal,1884-02-01,94.25,2,NA,2,Neutral
NorCal,1884-03-01,112.45000000000002,2,NA,3,Neutral
NorCal,1884-04-01,63.49999999999999,2,NA,4,Neutral
NorCal,1884-11-01,0,2,NA,11,Neutral
NorCal,1884-12-01,213.5,2,NA,12,Neutral
NorCal,1885-01-01,53.999999999999986,2,NA,1,Neutral
NorCal,1885-02-01,23.2,2,NA,2,Neutral
NorCal,1885-03-01,1.55,2,NA,3,Neutral
NorCal,1885-04-01,17.400000000000002,1,NA,4,Neutral
NorCal,1885-11-01,253.50000000000003,2,NA,11,Neutral
NorCal,1885-12-01,112.85,2,NA,12,Neutral
NorCal,1886-01-01,176,2,NA,1,Neutral
NorCal,1886-02-01,19.2,2,NA,2,Neutral
NorCal,1886-03-01,43.99999999999999,2,NA,3,Neutral
NorCal,1886-04-01,79.69999999999999,2,NA,4,Neutral
NorCal,1886-11-01,8.6,2,NA,11,Neutral
NorCal,1886-12-01,77.55,2,NA,12,Neutral
NorCal,1887-01-01,46.95,2,NA,1,Neutral
NorCal,1887-02-01,128.79999999999998,2,NA,2,Neutral
NorCal,1887-03-01,25.25,2,NA,3,Neutral
NorCal,1887-04-01,51.5,2,NA,4,Neutral
NorCal,1887-11-01,9.5,2,NA,11,Neutral
NorCal,1887-12-01,49.05,2,NA,12,Neutral
NorCal,1888-01-01,99.34999999999998,2,NA,1,Neutral
NorCal,1888-02-01,31.049999999999997,2,NA,2,Neutral
NorCal,1888-03-01,68.05,2,NA,3,Neutral
NorCal,1888-04-01,3.1999999999999997,2,NA,4,Neutral
NorCal,1888-11-01,68.35,2,NA,11,Neutral
NorCal,1888-12-01,68.3,2,NA,12,Neutral
NorCal,1889-01-01,37.599999999999994,2,NA,1,Neutral
NorCal,1889-02-01,8.399999999999999,1,NA,2,Neutral
NorCal,1889-03-01,172.4,2,NA,3,Neutral
NorCal,1889-04-01,17.1,2,NA,4,Neutral
NorCal,1889-11-01,67.94999999999999,2,NA,11,Neutral
NorCal,1889-12-01,147.44999999999996,2,NA,12,Neutral
NorCal,1890-01-01,178.55,2,NA,1,Neutral
NorCal,1890-02-01,102,2,NA,2,Neutral
NorCal,1890-03-01,88.5,2,NA,3,Neutral
NorCal,1890-04-01,28.599999999999998,2,NA,4,Neutral
NorCal,1890-11-01,0,1,NA,11,Neutral
NorCal,1890-12-01,169.7,1,NA,12,Neutral
NorCal,1891-01-01,10.85,2,NA,1,Neutral
NorCal,1891-02-01,134.5,2,NA,2,Neutral
NorCal,1891-03-01,71.14999999999999,2,NA,3,Neutral
NorCal,1891-04-01,43.55,2,NA,4,Neutral
NorCal,1891-11-01,26.000000000000004,2,NA,11,Neutral
NorCal,1891-12-01,76.69999999999999,2,NA,12,Neutral
NorCal,1892-01-01,58.099999999999994,3,NA,1,Neutral
NorCal,1892-02-01,60.53333333333333,3,NA,2,Neutral
NorCal,1892-03-01,54.133333333333326,3,NA,3,Neutral
NorCal,1892-04-01,44.099999999999994,2,NA,4,Neutral
NorCal,1892-11-01,116.2,3,NA,11,Neutral
NorCal,1892-12-01,133.33333333333331,3,NA,12,Neutral
NorCal,1893-01-01,96.11,10,NA,1,Neutral
NorCal,1893-02-01,97.91428571428571,14,NA,2,Neutral
NorCal,1893-03-01,147.38,10,NA,3,Neutral
NorCal,1893-04-01,49.223076923076924,13,NA,4,Neutral
NorCal,1893-11-01,103.01,10,NA,11,Neutral
NorCal,1893-12-01,65.70833333333333,12,NA,12,Neutral
NorCal,1894-01-01,190.91666666666666,12,NA,1,Neutral
NorCal,1894-02-01,126.91538461538462,13,NA,2,Neutral
NorCal,1894-03-01,42.2375,16,NA,3,Neutral
NorCal,1894-04-01,25.90714285714286,14,NA,4,Neutral
NorCal,1894-11-01,19.9,12,NA,11,Neutral
NorCal,1894-12-01,238.5857142857143,14,NA,12,Neutral
NorCal,1895-01-01,289.81428571428575,14,NA,1,Neutral
NorCal,1895-02-01,53.233333333333334,15,NA,2,Neutral
NorCal,1895-03-01,54.239999999999995,15,NA,3,Neutral
NorCal,1895-04-01,30.64117647058823,17,NA,4,Neutral
NorCal,1895-11-01,39.2,14,NA,11,Neutral
NorCal,1895-12-01,76.93333333333334,15,NA,12,Neutral
NorCal,1896-01-01,260.4642857142857,14,NA,1,Neutral
NorCal,1896-02-01,8.52142857142857,14,NA,2,Neutral
NorCal,1896-03-01,90.96923076923076,13,NA,3,Neutral
NorCal,1896-04-01,143.78571428571428,14,NA,4,Neutral
NorCal,1896-11-01,170.54285714285714,14,NA,11,Neutral
NorCal,1896-12-01,114.31333333333333,15,NA,12,Neutral
NorCal,1897-01-01,82.11428571428571,14,NA,1,Neutral
NorCal,1897-02-01,180.25333333333333,15,NA,2,Neutral
NorCal,1897-03-01,124.56153846153846,13,NA,3,Neutral
NorCal,1897-04-01,19.226666666666667,15,NA,4,Neutral
NorCal,1897-11-01,76.13333333333333,12,NA,11,Neutral
NorCal,1897-12-01,87.02499999999999,12,NA,12,Neutral
NorCal,1898-01-01,31.599999999999998,12,NA,1,Neutral
NorCal,1898-02-01,129.59166666666667,12,NA,2,Neutral
NorCal,1898-03-01,21.146153846153844,13,NA,3,Neutral
NorCal,1898-04-01,14.85,14,NA,4,Neutral
NorCal,1898-11-01,55.08333333333333,12,NA,11,Neutral
NorCal,1898-12-01,38.730769230769226,13,NA,12,Neutral
NorCal,1899-01-01,190.81666666666666,12,NA,1,Neutral
NorCal,1899-02-01,19.691666666666666,12,NA,2,Neutral
NorCal,1899-03-01,184.41666666666666,12,NA,3,Neutral
NorCal,1899-04-01,23.554545454545455,11,NA,4,Neutral
NorCal,1899-11-01,165.4,12,NA,11,Neutral
NorCal,1899-12-01,125.82777777777778,18,NA,12,Neutral
NorCal,1900-01-01,89.4625,16,NA,1,Neutral
NorCal,1900-02-01,36.6,18,NA,2,Neutral
NorCal,1900-03-01,92.23125,16,NA,3,Neutral
NorCal,1900-04-01,71.42,15,NA,4,Neutral
NorCal,1900-11-01,133.89285714285714,14,NA,11,Neutral
NorCal,1900-12-01,80.95714285714286,14,NA,12,Neutral
NorCal,1901-01-01,174.16923076923075,13,NA,1,Neutral
NorCal,1901-02-01,178.84545454545454,11,NA,2,Neutral
NorCal,1901-03-01,37.28181818181818,11,NA,3,Neutral
NorCal,1901-04-01,85.63333333333333,12,NA,4,Neutral
NorCal,1901-11-01,93.28888888888888,18,NA,11,Neutral
NorCal,1901-12-01,54.57058823529412,17,NA,12,Neutral
NorCal,1902-01-01,37.39473684210527,19,NA,1,Neutral
NorCal,1902-02-01,276.885,20,NA,2,Neutral
