"water_year","rsoi"
1950,NA
1951,NA
1952,0.82
1953,0.52
1954,0.06
1955,-1.16
1956,-2.14
1957,-0.64
1958,1.12
1959,0.68
1960,-1.02
1961,-0.06
1962,-1.28
1963,-1.06
1964,0.4
1965,-0.2
1966,1.24
1967,-1.4
1968,-0.32
1969,0.58
1970,0.4
1971,-2.7
1972,-1
1973,0.86
1974,-3.74
1975,-0.64
1976,-2.68
1977,-0.2
1978,1.8
1979,-0.2
1980,0.28
1981,0.5
1982,-0.9
1983,4.76
1984,-0.22
1985,-0.6
1986,-0.16
1987,1.94
1988,0.1
1989,-2.22
1990,1.02
1991,0.18
1992,2.7
1993,1.1
1994,0.14
1995,0.52
1996,-0.64
1997,-0.88
1998,3.08
1999,-2.14
2000,-2.02
2001,-2.04
2002,-0.36
2003,0.88
2004,-0.36
2005,1.3
2006,-1.1
2007,0.3
2008,-2.76
2009,-2.04
2010,1.5
2011,-3.88
2012,-1.94
2013,-0.28
2014,-0.46
2015,0.92
2016,1.72
2017,-0.4
2018,-0.94
2019,0.26
2020,0.46
2021,-2.08
2022,-1.92
2023,-1.78
2024,0.52
2025,-1.34
