region,ym,prcp,n_stations,oni,month,phase
NorCal,1867-06-01,15.2,1,NA,6,Neutral
NorCal,1867-07-01,2.5,1,NA,7,Neutral
NorCal,1867-08-01,35.5,1,NA,8,Neutral
NorCal,1867-09-01,71.1,1,NA,9,Neutral
NorCal,1867-10-01,20.3,1,NA,10,Neutral
NorCal,1867-11-01,78.6,1,NA,11,Neutral
NorCal,1867-12-01,208.4,1,NA,12,Neutral
NorCal,1868-01-01,88.9,1,NA,1,Neutral
NorCal,1868-02-01,10,1,NA,2,Neutral
NorCal,1868-03-01,101.6,1,NA,3,Neutral
NorCal,1868-04-01,15.1,1,NA,4,Neutral
NorCal,1868-05-01,60.8,1,NA,5,Neutral
NorCal,1868-06-01,104.2,1,NA,6,Neutral
NorCal,1868-09-01,5.1,1,NA,9,Neutral
NorCal,1868-10-01,2.5,1,NA,10,Neutral
NorCal,1868-11-01,20.3,1,NA,11,Neutral
NorCal,1868-12-01,22.8,1,NA,12,Neutral
NorCal,1869-01-01,63.3,1,NA,1,Neutral
NorCal,1869-02-01,10.2,1,NA,2,Neutral
NorCal,1869-03-01,17.7,1,NA,3,Neutral
NorCal,1869-05-01,17.7,1,NA,5,Neutral
NorCal,1869-06-01,5,1,NA,6,Neutral
NorCal,1869-07-01,17.7,1,NA,7,Neutral
NorCal,1869-08-01,0,1,NA,8,Neutral
NorCal,1869-09-01,11.4,1,NA,9,Neutral
NorCal,1869-10-01,0,1,NA,10,Neutral
NorCal,1869-11-01,60.1,1,NA,11,Neutral
NorCal,1869-12-01,58.5,1,NA,12,Neutral
NorCal,1870-01-01,322.9,1,NA,1,Neutral
NorCal,1870-02-01,137.2,1,NA,2,Neutral
NorCal,1870-03-01,81.5,1,NA,3,Neutral
NorCal,1870-04-01,35.8,1,NA,4,Neutral
NorCal,1870-05-01,73,1,NA,5,Neutral
NorCal,1870-06-01,34.5,1,NA,6,Neutral
NorCal,1870-07-01,19.3,1,NA,7,Neutral
NorCal,1870-08-01,1.3,1,NA,8,Neutral
NorCal,1870-09-01,0,1,NA,9,Neutral
NorCal,1870-10-01,0.8,1,NA,10,Neutral
NorCal,1870-11-01,58.2,1,NA,11,Neutral
NorCal,1870-12-01,231.1,1,NA,12,Neutral
NorCal,1871-01-01,31.4,1,NA,1,Neutral
NorCal,1871-02-01,85.5,1,NA,2,Neutral
NorCal,1871-03-01,81.9,1,NA,3,Neutral
NorCal,1871-05-01,24.6,1,NA,5,Neutral
NorCal,1871-06-01,4.1,1,NA,6,Neutral
NorCal,1871-07-01,9.6,1,NA,7,Neutral
NorCal,1871-08-01,0.5,1,NA,8,Neutral
NorCal,1871-09-01,5.1,1,NA,9,Neutral
NorCal,1871-10-01,5.1,1,NA,10,Neutral
NorCal,1871-11-01,20,1,NA,11,Neutral
NorCal,1871-12-01,95.2,1,NA,12,Neutral
NorCal,1872-01-01,29.3,1,NA,1,Neutral
NorCal,1872-02-01,100.9,1,NA,2,Neutral
NorCal,1872-03-01,33.5,1,NA,3,Neutral
NorCal,1872-04-01,19.6,1,NA,4,Neutral
NorCal,1872-05-01,46.2,1,NA,5,Neutral
NorCal,1872-06-01,1.5,1,NA,6,Neutral
NorCal,1872-07-01,0,1,NA,7,Neutral
NorCal,1872-08-01,6.6,1,NA,8,Neutral
NorCal,1872-09-01,29.9,1,NA,9,Neutral
NorCal,1872-10-01,11.7,1,NA,10,Neutral
NorCal,1872-11-01,42.9,1,NA,11,Neutral
NorCal,1872-12-01,49.3,1,NA,12,Neutral
NorCal,1873-01-01,56.4,1,NA,1,Neutral
NorCal,1873-02-01,42.3,1,NA,2,Neutral
NorCal,1873-03-01,15.3,1,NA,3,Neutral
NorCal,1873-04-01,52.4,1,NA,4,Neutral
NorCal,1873-05-01,19.7,1,NA,5,Neutral
NorCal,1873-06-01,2.5,1,NA,6,Neutral
NorCal,1873-07-01,3.6,1,NA,7,Neutral
NorCal,1873-08-01,5.3,1,NA,8,Neutral
NorCal,1873-09-01,10.1,1,NA,9,Neutral
NorCal,1873-10-01,16,1,NA,10,Neutral
NorCal,1873-11-01,28.9,1,NA,11,Neutral
NorCal,1873-12-01,83.5,1,NA,12,Neutral
NorCal,1874-01-01,38.3,1,NA,1,Neutral
NorCal,1874-02-01,27.4,1,NA,2,Neutral
NorCal,1874-03-01,26.7,1,NA,3,Neutral
NorCal,1874-04-01,28.4,1,NA,4,Neutral
NorCal,1874-05-01,16.4,1,NA,5,Neutral
NorCal,1874-06-01,26.9,1,NA,6,Neutral
NorCal,1874-07-01,1.3,1,NA,7,Neutral
NorCal,1874-08-01,6.9,1,NA,8,Neutral
NorCal,1874-09-01,0,1,NA,9,Neutral
NorCal,1874-10-01,9.4,1,NA,10,Neutral
NorCal,1874-11-01,30.5,1,NA,11,Neutral
NorCal,1874-12-01,3.3,1,NA,12,Neutral
NorCal,1875-01-01,53.4,1,NA,1,Neutral
NorCal,1875-02-01,1.8,1,NA,2,Neutral
NorCal,1875-03-01,54.7,1,NA,3,Neutral
NorCal,1875-04-01,11.4,1,NA,4,Neutral
NorCal,1875-05-01,33,1,NA,5,Neutral
NorCal,1875-06-01,25.4,1,NA,6,Neutral
NorCal,1875-07-01,0,1,NA,7,Neutral
NorCal,1875-08-01,1.3,1,NA,8,Neutral
NorCal,1875-09-01,0,1,NA,9,Neutral
NorCal,1875-10-01,45.7,1,NA,10,Neutral
NorCal,1875-11-01,66.7,1,NA,11,Neutral
NorCal,1875-12-01,39.2,1,NA,12,Neutral
NorCal,1876-01-01,90.7,1,NA,1,Neutral
NorCal,1876-02-01,8.2,1,NA,2,Neutral
NorCal,1876-03-01,20.4,1,NA,3,Neutral
NorCal,1876-04-01,13.6,1,NA,4,Neutral
NorCal,1876-05-01,25,1,NA,5,Neutral
NorCal,1876-06-01,10.9,1,NA,6,Neutral
NorCal,1876-07-01,0,1,NA,7,Neutral
NorCal,1876-08-01,0,1,NA,8,Neutral
NorCal,1876-09-01,0,1,NA,9,Neutral
NorCal,1876-10-01,50.4,1,NA,10,Neutral
NorCal,1876-11-01,109.7,1,NA,11,Neutral
NorCal,1876-12-01,52.1,1,NA,12,Neutral
NorCal,1877-01-01,132.5,1,NA,1,Neutral
NorCal,1877-02-01,83.9,1,NA,2,Neutral
NorCal,1877-03-01,106.2,1,NA,3,Neutral
NorCal,1877-04-01,54.4,1,NA,4,Neutral
NorCal,1877-05-01,118.5,1,NA,5,Neutral
NorCal,1877-06-01,53.3,1,NA,6,Neutral
NorCal,1877-07-01,1.3,2,NA,7,Neutral
NorCal,1877-08-01,4.45,2,NA,8,Neutral
NorCal,1877-09-01,1.25,2,NA,9,Neutral
NorCal,1877-10-01,19.45,2,NA,10,Neutral
NorCal,1877-11-01,52.1,2,NA,11,Neutral
NorCal,1877-12-01,22.6,2,NA,12,Neutral
NorCal,1878-01-01,127.15,2,NA,1,Neutral
NorCal,1878-02-01,161.25,2,NA,2,Neutral
NorCal,1878-03-01,69.2,2,NA,3,Neutral
NorCal,1878-04-01,26.85,2,NA,4,Neutral
NorCal,1878-05-01,12.6,2,NA,5,Neutral
NorCal,1878-06-01,2.55,2,NA,6,Neutral
NorCal,1878-07-01,3.2,2,NA,7,Neutral
NorCal,1878-08-01,4.7,2,NA,8,Neutral
NorCal,1878-09-01,12.6,2,NA,9,Neutral
NorCal,1878-10-01,10.8,2,NA,10,Neutral
NorCal,1878-11-01,9.65,2,NA,11,Neutral
NorCal,1878-12-01,8.55,2,NA,12,Neutral
NorCal,1879-01-01,80.7,1,NA,1,Neutral
NorCal,1879-02-01,98.9,1,NA,2,Neutral
NorCal,1879-03-01,74,2,NA,3,Neutral
NorCal,1879-04-01,45.25,2,NA,4,Neutral
NorCal,1879-05-01,34.25,2,NA,5,Neutral
NorCal,1879-06-01,3.55,2,NA,6,Neutral
NorCal,1879-07-01,1.9,2,NA,7,Neutral
NorCal,1879-08-01,3.8,2,NA,8,Neutral
NorCal,1879-09-01,1.25,2,NA,9,Neutral
NorCal,1879-10-01,28.15,2,NA,10,Neutral
NorCal,1879-11-01,48.25,2,NA,11,Neutral
NorCal,1879-12-01,120.8,2,NA,12,Neutral
NorCal,1880-01-01,37.45,2,NA,1,Neutral
NorCal,1880-02-01,71.55,2,NA,2,Neutral
NorCal,1880-03-01,64.2,2,NA,3,Neutral
NorCal,1880-04-01,251.55,2,NA,4,Neutral
NorCal,1880-05-01,27.15,2,NA,5,Neutral
NorCal,1880-06-01,3.25,2,NA,6,Neutral
NorCal,1880-07-01,9.1,2,NA,7,Neutral
NorCal,1880-08-01,5.35,2,NA,8,Neutral
NorCal,1880-09-01,1.9,2,NA,9,Neutral
NorCal,1880-10-01,6.35,2,NA,10,Neutral
NorCal,1880-11-01,7.75,2,NA,11,Neutral
NorCal,1880-12-01,227.25,2,NA,12,Neutral
NorCal,1881-01-01,205.05,2,NA,1,Neutral
NorCal,1881-02-01,140.4,2,NA,2,Neutral
NorCal,1881-03-01,36.45,2,NA,3,Neutral
NorCal,1881-04-01,59.1,2,NA,4,Neutral
NorCal,1881-05-01,10.7,2,NA,5,Neutral
NorCal,1881-06-01,26.55,2,NA,6,Neutral
NorCal,1881-07-01,4.05,2,NA,7,Neutral
NorCal,1881-08-01,1.3,2,NA,8,Neutral
NorCal,1881-09-01,6.85,2,NA,9,Neutral
NorCal,1881-10-01,52.2,2,NA,10,Neutral
NorCal,1881-11-01,60.3,2,NA,11,Neutral
NorCal,1881-12-01,84.7,2,NA,12,Neutral
NorCal,1882-01-01,67.8,2,NA,1,Neutral
NorCal,1882-02-01,66.3,2,NA,2,Neutral
NorCal,1882-03-01,66.55,2,NA,3,Neutral
NorCal,1882-04-01,47.15,2,NA,4,Neutral
NorCal,1882-05-01,12.55,2,NA,5,Neutral
NorCal,1882-06-01,6.05,2,NA,6,Neutral
NorCal,1882-07-01,2,2,NA,7,Neutral
NorCal,1882-08-01,0,2,NA,8,Neutral
NorCal,1882-09-01,13.35,2,NA,9,Neutral
NorCal,1882-10-01,68.05,2,NA,10,Neutral
NorCal,1882-11-01,52.6,2,NA,11,Neutral
NorCal,1882-12-01,35.65,2,NA,12,Neutral
NorCal,1883-01-01,60.35,2,NA,1,Neutral
NorCal,1883-02-01,22.3,2,NA,2,Neutral
NorCal,1883-03-01,56.7,2,NA,3,Neutral
NorCal,1883-04-01,28.4,2,NA,4,Neutral
NorCal,1883-05-01,52.7,2,NA,5,Neutral
NorCal,1883-06-01,0,2,NA,6,Neutral
NorCal,1883-07-01,0,2,NA,7,Neutral
NorCal,1883-08-01,0,2,NA,8,Neutral
NorCal,1883-09-01,11.45,2,NA,9,Neutral
NorCal,1883-10-01,27.4,2,NA,10,Neutral
NorCal,1883-11-01,22.25,2,NA,11,Neutral
NorCal,1883-12-01,19.1,2,NA,12,Neutral
NorCal,1884-01-01,58.05,2,NA,1,Neutral
NorCal,1884-02-01,94.25,2,NA,2,Neutral
NorCal,1884-03-01,112.45,2,NA,3,Neutral
NorCal,1884-04-01,63.5,2,NA,4,Neutral
NorCal,1884-05-01,5.85,2,NA,5,Neutral
NorCal,1884-06-01,72.9,2,NA,6,Neutral
NorCal,1884-07-01,8.5,2,NA,7,Neutral
NorCal,1884-08-01,1,2,NA,8,Neutral
NorCal,1884-09-01,27.25,2,NA,9,Neutral
NorCal,1884-10-01,34.8,2,NA,10,Neutral
NorCal,1884-11-01,0,2,NA,11,Neutral
NorCal,1884-12-01,213.5,2,NA,12,Neutral
NorCal,1885-01-01,54,2,NA,1,Neutral
NorCal,1885-02-01,23.2,2,NA,2,Neutral
NorCal,1885-03-01,1.55,2,NA,3,Neutral
NorCal,1885-04-01,17.4,1,NA,4,Neutral
NorCal,1885-05-01,0,1,NA,5,Neutral
NorCal,1885-06-01,2.8,1,NA,6,Neutral
NorCal,1885-07-01,0,1,NA,7,Neutral
NorCal,1885-08-01,0,2,NA,8,Neutral
NorCal,1885-09-01,2.25,2,NA,9,Neutral
NorCal,1885-10-01,9.55,2,NA,10,Neutral
NorCal,1885-11-01,253.5,2,NA,11,Neutral
NorCal,1885-12-01,112.85,2,NA,12,Neutral
NorCal,1886-01-01,176,2,NA,1,Neutral
NorCal,1886-02-01,19.2,2,NA,2,Neutral
NorCal,1886-03-01,44,2,NA,3,Neutral
NorCal,1886-04-01,79.7,2,NA,4,Neutral
NorCal,1886-05-01,19.2,2,NA,5,Neutral
NorCal,1886-06-01,9.95,2,NA,6,Neutral
NorCal,1886-07-01,5.2,2,NA,7,Neutral
NorCal,1886-08-01,0.5,2,NA,8,Neutral
NorCal,1886-09-01,0,2,NA,9,Neutral
NorCal,1886-10-01,33.25,2,NA,10,Neutral
NorCal,1886-11-01,8.6,2,NA,11,Neutral
NorCal,1886-12-01,77.55,2,NA,12,Neutral
NorCal,1887-01-01,46.95,2,NA,1,Neutral
NorCal,1887-02-01,128.8,2,NA,2,Neutral
NorCal,1887-03-01,25.25,2,NA,3,Neutral
NorCal,1887-04-01,51.5,2,NA,4,Neutral
NorCal,1887-05-01,15.8,2,NA,5,Neutral
NorCal,1887-06-01,12.3,2,NA,6,Neutral
NorCal,1887-07-01,2.45,2,NA,7,Neutral
NorCal,1887-08-01,2.8,2,NA,8,Neutral
NorCal,1887-09-01,0.65,2,NA,9,Neutral
NorCal,1887-10-01,0,2,NA,10,Neutral
NorCal,1887-11-01,9.5,2,NA,11,Neutral
NorCal,1887-12-01,49.05,2,NA,12,Neutral
NorCal,1888-01-01,99.35,2,NA,1,Neutral
